;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g012200.v5.5;799;391;689;672;512;677;620,3333333;626,3333333;735,5;451,5;683
Cre01.g012222.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g012244.v5.5;164;6;6;6;1;1;2,666666667;58,66666667;85;3,5;3,5
Cre01.g012300.v5.5;698;278;451;390;251;359;333,3333333;475,6666667;544;264,5;405
Cre01.g012350.v5.5;535;153;544;719;290;828;612,3333333;410,6666667;627;221,5;686
Cre01.g012400.v5.5;109;111;160;121;69;73;87,66666667;126,6666667;115;90;116,5
Cre01.g012450.v5.5;591;209;290;388;230;354;324;363,3333333;489,5;219,5;322
Cre01.g012500.v5.5;1939;152;326;161;76;236;157,6666667;805,6666667;1050;114;281
Cre01.g012550.v5.5;66;18;18;18;8;7;11;34;42;13;12,5
Cre01.g012600.v5.5;18;18;6;2;6;5;4,333333333;14;10;12;5,5
Cre01.g012650.v5.5;184;1;30;2;1;0;1;71,66666667;93;1;15
Cre01.g012700.v5.5;485;60;139;92;14;38;48;228;288,5;37;88,5
Cre01.g012750.v5.5;456;43;65;26;7;26;19,66666667;188;241;25;45,5
Cre01.g012800.v5.5;252;92;41;107;61;103;90,33333333;128,3333333;179,5;76,5;72
Cre01.g012850.v5.5;290;5;34;21;5;5;10,33333333;109,6666667;155,5;5;19,5
