GeneID;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g004950;8,868296004;8,985324597;8,866874129;8,83523434;8,583101787;8,727326855;8,906831577;8,715220994;8,851765172;8,784213192;8,797100492
Cre01.g005001;6,832780245;7,176589218;6,937820448;6,676500706;6,810654506;7,084461008;6,982396637;6,857205407;6,754640475;6,993621862;7,011140728
Cre01.g005050;11,22203874;10,86963149;10,82301741;10,74727868;10,82063824;10,81005461;10,97156254;10,79265718;10,98465871;10,84513486;10,81653601
Cre01.g005100;5,675814335;5,360125781;5,531240877;6,156563184;6,290437517;6,02179137;5,522393664;6,156264024;5,916188759;5,825281649;5,776516123
Cre01.g005126;-0,798049355;-0,78935507;-0,797263828;-0,729469957;-0,788707426;-0,626431405;-0,794889418;-0,714869596;-0,763759656;-0,789031248;-0,711847617
Cre01.g005150;9,632004477;10,78057545;10,04626179;9,76131368;9,78178354;9,58804932;10,15294724;9,71038218;9,696659079;10,28117949;9,817155553
Cre01.g005200;8,600688616;8,564695268;8,850184432;8,459081377;8,588786998;8,45806097;8,671856105;8,501976449;8,529884996;8,576741133;8,654122701
Cre01.g005350;-1,514147057;-1,50153053;-1,51126922;-1,50838473;-1,50117549;-1,425162939;-1,508982269;-1,478241053;-1,511265894;-1,50135301;-1,468216079
Cre01.g005400;0,762297909;0,662166469;0,628592452;0,699189643;0,577928621;0,738593651;0,684352277;0,671903972;0,730743776;0,620047545;0,683593051
Cre01.g005450;8,768590594;9,235968943;8,161847051;8,762922955;8,66128351;8,770645081;8,722135529;8,731617182;8,765756775;8,948626227;8,466246066
Cre01.g005500;6,83707116;6,131219888;6,303498381;5,922300049;6,064477058;6,019369444;6,42392981;6,00204885;6,379685605;6,097848473;6,161433913
Cre01.g005534;1,469170977;1,680852572;1,539540491;1,557374957;1,882363546;1,651080706;1,563188013;1,696939736;1,513272967;1,781608059;1,595310598
Cre01.g005543;-1,520217463;-1,503872855;-1,516489249;-1,457190332;-1,44785082;-1,516063432;-1,513526522;-1,473701528;-1,488703898;-1,475861837;-1,51627634
Cre01.g005550;6,792453927;7,135484537;7,124248978;6,680038991;6,823154665;7,287804014;7,017395814;6,930332557;6,736246459;6,979319601;7,206026496
Cre01.g005600;4,205797987;4,421605052;4,811926119;4,993005786;4,913692014;4,746436272;4,479776386;4,884378024;4,599401886;4,667648533;4,779181196
Cre01.g005651;0,273895785;0,122722941;0,148109343;0,029899822;0,034681903;0,028432693;0,181576023;0,031004806;0,151897803;0,078702422;0,088271018
Cre01.g005701;6,737184162;4,59143941;5,722797616;6,354990521;6,013194033;5,948179581;5,683807063;6,105454712;6,546087342;5,302316721;5,835488598
Cre01.g005750;0,815305591;0,838213448;0,883957906;0,734416553;0,761137918;0,665544706;0,845825648;0,720366393;0,774861072;0,799675683;0,774751306
Cre01.g005813;8,86525846;9,211891997;9,426303044;8,996652533;8,806823319;9,151689913;9,167817833;8,985055255;8,930955496;9,009357658;9,288996478
Cre01.g005850;5,514783194;5,848824184;5,807040421;5,773393786;6,017601589;5,74832413;5,723549266;5,846439835;5,64408849;5,933212887;5,777682276
Cre01.g005900;5,394471677;5,817088198;5,270262568;5,777000835;5,878816377;5,967354588;5,493940814;5,8743906;5,585736256;5,847952288;5,618808578
Cre01.g005950;7,804230362;8,267138092;7,80584794;7,297322745;7,464183103;7,277956121;7,959072131;7,346487323;7,550776553;7,865660597;7,541902031
Cre01.g006000;5,487656668;6,344718165;5,87651527;5,151514027;5,715413323;5,419841144;5,902963368;5,428922831;5,319585347;6,030065744;5,648178207
Cre01.g006050;8,765869383;8,571507998;8,619415307;8,614489786;8,689095634;8,609525869;8,652264229;8,637703763;8,690179585;8,630301816;8,614470588
Cre01.g006100;4,007677444;3,918260114;4,104472185;4,363769524;3,872757068;4,704102268;4,010136581;4,313542953;4,185723484;3,895508591;4,404287226
Cre01.g006150;8,05433291;8,335606125;8,427167973;8,180370697;8,056789807;8,403018534;8,272369003;8,213393013;8,117351804;8,196197966;8,415093253
Cre01.g006250;-0,990143965;-0,899166584;-0,922819589;-0,98835767;-0,898520666;-0,989189655;-0,937376713;-0,95868933;-0,989250818;-0,898843625;-0,956004622
Cre01.g006301;5,285547414;5,735961713;5,526552449;6,093856829;6,149127921;6,828747787;5,516020525;6,357244179;5,689702122;5,942544817;6,177650118
Cre01.g006352;2,217397449;2,078031449;1,884146914;2,386537045;2,353483161;2,168231798;2,059858604;2,302750668;2,301967247;2,215757305;2,026189356
Cre01.g006450;-1,075044745;-1,063391938;-1,074485373;-1,011411621;-1,062872953;-0,964816204;-1,070974019;-1,013033593;-1,043228183;-1,063132445;-1,019650789
Cre01.g006550;3,852696791;4,237875157;4,715742859;6,552854165;6,280284777;6,322330096;4,268771602;6,385156346;5,202775478;5,259079967;5,519036478
Cre01.g006670;-1,436450376;-1,500548054;-1,509080289;-1,506553138;-1,500236997;-1,508792317;-1,48202624;-1,505194151;-1,471501757;-1,500392525;-1,508936303
Cre01.g006766;-0,213237829;-0,119403641;-0,150723689;-0,210654476;-0,037341024;-0,149802341;-0,16112172;-0,13259928;-0,211946153;-0,078372333;-0,150263015
Cre01.g006800;6,656542375;7,342507754;7,089118131;7,198661996;7,167439801;6,980076658;7,02938942;7,115392818;6,927602186;7,254973777;7,034597395
Cre01.g006850;6,72810904;7,175778141;6,942429056;7,513023767;7,189838109;7,209561127;6,948772079;7,304141001;7,120566403;7,182808125;7,075995091
Cre01.g006876;1,029095659;1,134402884;1,095437402;1,341991634;1,294291641;1,264503431;1,086311982;1,300262236;1,185543647;1,214347263;1,179970417
Cre01.g006900;6,998122588;6,609901338;6,573797209;7,034595252;7,023959627;6,691213847;6,727273712;6,916589576;7,01635892;6,816930483;6,632505528
Cre01.g006950;8,409455891;10,27257752;9,502952193;10,03309944;9,817133901;9,088346924;9,394995202;9,64619342;9,221277664;10,04485571;9,295649558
Cre01.g007000;7,536392;8,003909013;7,891368282;8,236390189;8,511797808;8,285598965;7,810556432;8,344595654;7,886391095;8,257853411;8,088483623
Cre01.g007050;7,591714007;8,530898869;8,239104693;8,866169241;8,800087345;8,517507311;8,120572523;8,727921299;8,228941624;8,665493107;8,378306002
Cre01.g007051;14,30687913;14,70103454;14,7201451;14,92608875;14,91189015;14,72573068;14,57601959;14,85456986;14,61648394;14,80646234;14,72293789
Cre01.g007100;5,51112716;5,419484727;5,245892214;5,179288346;5,250609516;5,190590945;5,392168034;5,206829603;5,345207753;5,335047122;5,218241579
Cre01.g007150;6,10513721;6,215451461;6,298758445;6,48425882;6,682696766;6,575854791;6,206449039;6,580936792;6,294698015;6,449074113;6,437306618
Cre01.g007200;8,021603138;8,182003742;8,109992844;8,034588847;7,964115393;8,266116869;8,104533242;8,088273703;8,028095992;8,073059568;8,188054857
Cre01.g007251;6,009773504;4,733049144;4,558085581;4,103627057;4,182971906;3,70701637;5,100302743;3,997871777;5,05670028;4,458010525;4,132550975
Cre01.g007300;5,83759259;6,161258093;6,226130188;5,657915921;6,147225387;5,78710683;6,074993624;5,864082713;5,747754256;6,15424174;6,006618509
Cre01.g007350;6,932098677;5,838153968;5,675823523;6,717696379;6,743376327;7,395717644;6,148692056;6,95226345;6,824897528;6,290765147;6,535770584
Cre01.g007400;2,937436684;3,368640346;3,662890103;2,505183049;2,723674674;2,855192313;3,322989044;2,694683345;2,721309866;3,04615751;3,259041208
Cre01.g007450;3,773155554;4,009810719;4,012234224;3,11482151;3,126851954;3,290311788;3,931733499;3,177328417;3,443988532;3,568331336;3,651273006
Cre01.g007500;7,36057039;6,847217542;6,853810456;7,299945848;7,091726545;7,041557752;7,020532796;7,144410048;7,330258119;6,969472043;6,947684104
Cre01.g007550;6,18193765;6,261432283;6,173252553;6,229844758;6,233489313;6,222012129;6,205540828;6,228448733;6,205891204;6,247460798;6,197632341
Cre01.g007600;10,95052509;11,67253992;11,92655585;11,51503517;11,48029738;11,78403477;11,51654029;11,59312244;11,23278013;11,57641865;11,85529531
Cre01.g007651;7,287045076;7,102609243;7,576945098;7,931674234;7,744776205;7,779350995;7,322199806;7,818600478;7,609359655;7,423692724;7,678148047
Cre01.g007700;7,838256496;8,42542601;8,284994126;7,945188966;7,524480265;7,612310676;8,182892211;7,693993302;7,891722731;7,974953137;7,948652401
Cre01.g007737;7,055278262;6,931021741;7,001722007;6,70252357;7,050730484;7,287150081;6,996007337;7,013468045;6,878900916;6,990876112;7,144436044
Cre01.g007774;7,570547599;7,753353262;7,67684548;7,822780567;7,845413509;7,906027153;7,666915447;7,858073743;7,696664083;7,799383385;7,791436316
Cre01.g007811;5,354044008;4,63193532;4,862585967;4,528679969;4,904995238;5,173331953;4,949521765;4,869002387;4,941361989;4,768465279;5,01795896
